SUBJECT	OBJECT	WEIGHT
http://af.dbpedia.org/resource/Brandenburg	http://als.dbpedia.org/resource/Land_Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://an.dbpedia.org/resource/Brandemburgo	2
http://af.dbpedia.org/resource/Brandenburg	http://ar.dbpedia.org/resource/براندنبورغ	0
http://af.dbpedia.org/resource/Brandenburg	http://az.dbpedia.org/resource/Brandenburq	2
http://af.dbpedia.org/resource/Brandenburg	http://ba.dbpedia.org/resource/Бранденбург_(штат)	0
http://af.dbpedia.org/resource/Brandenburg	http://be-x-old.dbpedia.org/resource/Брандэнбург	0
http://af.dbpedia.org/resource/Brandenburg	http://be.dbpedia.org/resource/Брандэнбург	0
http://af.dbpedia.org/resource/Brandenburg	http://bg.dbpedia.org/resource/Бранденбург	0
http://af.dbpedia.org/resource/Brandenburg	http://br.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://bs.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://ca.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://cs.dbpedia.org/resource/Braniborsko	2
http://af.dbpedia.org/resource/Brandenburg	http://cv.dbpedia.org/resource/Бранденбург	0
http://af.dbpedia.org/resource/Brandenburg	http://cy.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://da.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://de.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://diq.dbpedia.org/resource/Brandenburg	1
http://af.dbpedia.org/resource/Brandenburg	http://el.dbpedia.org/resource/Βραδεμβούργο	0
http://af.dbpedia.org/resource/Brandenburg	http://eo.dbpedia.org/resource/Brandenburgio	2
http://af.dbpedia.org/resource/Brandenburg	http://es.dbpedia.org/resource/Brandeburgo	2
http://af.dbpedia.org/resource/Brandenburg	http://et.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://eu.dbpedia.org/resource/Brandenburgo	2
http://af.dbpedia.org/resource/Brandenburg	http://fa.dbpedia.org/resource/براندنبورگ	0
http://af.dbpedia.org/resource/Brandenburg	http://fi.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://fr.dbpedia.org/resource/Brandebourg	2
http://af.dbpedia.org/resource/Brandenburg	http://fy.dbpedia.org/resource/Brandenboarch	2
http://af.dbpedia.org/resource/Brandenburg	http://ga.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://gd.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://gl.dbpedia.org/resource/Brandeburgo_-_Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://he.dbpedia.org/resource/ברנדנבורג	0
http://af.dbpedia.org/resource/Brandenburg	http://hr.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://hu.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://id.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://io.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://is.dbpedia.org/resource/Brandenborg	2
http://af.dbpedia.org/resource/Brandenburg	http://it.dbpedia.org/resource/Brandeburgo	2
http://af.dbpedia.org/resource/Brandenburg	http://ja.dbpedia.org/resource/ブランデンブルク州	0
http://af.dbpedia.org/resource/Brandenburg	http://jv.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://ka.dbpedia.org/resource/ბრანდენბურგი_(მხარე)	0
http://af.dbpedia.org/resource/Brandenburg	http://kk.dbpedia.org/resource/Бранденбург	0
http://af.dbpedia.org/resource/Brandenburg	http://ko.dbpedia.org/resource/브란덴부르크_주	0
http://af.dbpedia.org/resource/Brandenburg	http://ku.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://la.dbpedia.org/resource/Brandenburgum	2
http://af.dbpedia.org/resource/Brandenburg	http://lb.dbpedia.org/resource/Brandenburg	1
http://af.dbpedia.org/resource/Brandenburg	http://lb.dbpedia.org/resource/Brandenburg_(Land)	1
http://af.dbpedia.org/resource/Brandenburg	http://lmo.dbpedia.org/resource/Brandebùrgo	0
http://af.dbpedia.org/resource/Brandenburg	http://lt.dbpedia.org/resource/Brandenburgas	2
http://af.dbpedia.org/resource/Brandenburg	http://lv.dbpedia.org/resource/Brandenburga_(zeme)	2
http://af.dbpedia.org/resource/Brandenburg	http://mk.dbpedia.org/resource/Бранденбург	0
http://af.dbpedia.org/resource/Brandenburg	http://mr.dbpedia.org/resource/ब्रांडेनबुर्ग	0
http://af.dbpedia.org/resource/Brandenburg	http://ms.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://nds.dbpedia.org/resource/Brannenborg	2
http://af.dbpedia.org/resource/Brandenburg	http://nl.dbpedia.org/resource/Brandenburg_(deelstaat)	2
http://af.dbpedia.org/resource/Brandenburg	http://nn.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://no.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://oc.dbpedia.org/resource/Brandeborg	2
http://af.dbpedia.org/resource/Brandenburg	http://pl.dbpedia.org/resource/Brandenburgia	2
http://af.dbpedia.org/resource/Brandenburg	http://pms.dbpedia.org/resource/Brandeborgh	2
http://af.dbpedia.org/resource/Brandenburg	http://pnb.dbpedia.org/resource/برانڈنبرگ	0
http://af.dbpedia.org/resource/Brandenburg	http://pt.dbpedia.org/resource/Brandemburgo	2
http://af.dbpedia.org/resource/Brandenburg	http://qu.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://ro.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://ru.dbpedia.org/resource/Бранденбург	0
http://af.dbpedia.org/resource/Brandenburg	http://sco.dbpedia.org/resource/Brandenburg	1
http://af.dbpedia.org/resource/Brandenburg	http://sh.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://simple.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://sk.dbpedia.org/resource/Brandenbursko	2
http://af.dbpedia.org/resource/Brandenburg	http://sl.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://sq.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://sr.dbpedia.org/resource/Бранденбург	0
http://af.dbpedia.org/resource/Brandenburg	http://sv.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://sw.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://th.dbpedia.org/resource/รัฐบรันเดนบูร์ก	0
http://af.dbpedia.org/resource/Brandenburg	http://tl.dbpedia.org/resource/Brandeburgo	1
http://af.dbpedia.org/resource/Brandenburg	http://tl.dbpedia.org/resource/Brandenburg	1
http://af.dbpedia.org/resource/Brandenburg	http://tr.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://uk.dbpedia.org/resource/Бранденбург	0
http://af.dbpedia.org/resource/Brandenburg	http://uz.dbpedia.org/resource/Brandenburg	1
http://af.dbpedia.org/resource/Brandenburg	http://vec.dbpedia.org/resource/Brandiburgo	1
http://af.dbpedia.org/resource/Brandenburg	http://vi.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://vo.dbpedia.org/resource/Brandänburgän	0
http://af.dbpedia.org/resource/Brandenburg	http://war.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://www.wikidata.org/entity/Q1208	1
http://af.dbpedia.org/resource/Brandenburg	http://yo.dbpedia.org/resource/Brandenburg	2
http://af.dbpedia.org/resource/Brandenburg	http://zh-min-nan.dbpedia.org/resource/Brandenburg	1
http://af.dbpedia.org/resource/Brandenburg	http://zh.dbpedia.org/resource/勃兰登堡	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://af.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://an.dbpedia.org/resource/Brandemburgo	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://ar.dbpedia.org/resource/براندنبورغ	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://az.dbpedia.org/resource/Brandenburq	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://ba.dbpedia.org/resource/Бранденбург_(штат)	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://be-x-old.dbpedia.org/resource/Брандэнбург	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://be.dbpedia.org/resource/Брандэнбург	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://bg.dbpedia.org/resource/Бранденбург	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://br.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://bs.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://ca.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://cs.dbpedia.org/resource/Braniborsko	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://cv.dbpedia.org/resource/Бранденбург	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://cy.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://da.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://de.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://diq.dbpedia.org/resource/Brandenburg	1
http://als.dbpedia.org/resource/Land_Brandenburg	http://el.dbpedia.org/resource/Βραδεμβούργο	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://eo.dbpedia.org/resource/Brandenburgio	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://es.dbpedia.org/resource/Brandeburgo	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://et.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://eu.dbpedia.org/resource/Brandenburgo	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://fa.dbpedia.org/resource/براندنبورگ	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://fi.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://fr.dbpedia.org/resource/Brandebourg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://fy.dbpedia.org/resource/Brandenboarch	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://ga.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://gd.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://gl.dbpedia.org/resource/Brandeburgo_-_Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://he.dbpedia.org/resource/ברנדנבורג	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://hr.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://hu.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://id.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://io.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://is.dbpedia.org/resource/Brandenborg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://it.dbpedia.org/resource/Brandeburgo	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://ja.dbpedia.org/resource/ブランデンブルク州	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://jv.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://ka.dbpedia.org/resource/ბრანდენბურგი_(მხარე)	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://kk.dbpedia.org/resource/Бранденбург	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://ko.dbpedia.org/resource/브란덴부르크_주	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://ku.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://la.dbpedia.org/resource/Brandenburgum	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://lb.dbpedia.org/resource/Brandenburg	1
http://als.dbpedia.org/resource/Land_Brandenburg	http://lb.dbpedia.org/resource/Brandenburg_(Land)	1
http://als.dbpedia.org/resource/Land_Brandenburg	http://lmo.dbpedia.org/resource/Brandebùrgo	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://lt.dbpedia.org/resource/Brandenburgas	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://lv.dbpedia.org/resource/Brandenburga_(zeme)	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://mk.dbpedia.org/resource/Бранденбург	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://mr.dbpedia.org/resource/ब्रांडेनबुर्ग	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://ms.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://nds.dbpedia.org/resource/Brannenborg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://nl.dbpedia.org/resource/Brandenburg_(deelstaat)	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://nn.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://no.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://oc.dbpedia.org/resource/Brandeborg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://pl.dbpedia.org/resource/Brandenburgia	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://pms.dbpedia.org/resource/Brandeborgh	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://pnb.dbpedia.org/resource/برانڈنبرگ	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://pt.dbpedia.org/resource/Brandemburgo	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://qu.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://ro.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://ru.dbpedia.org/resource/Бранденбург	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://sco.dbpedia.org/resource/Brandenburg	1
http://als.dbpedia.org/resource/Land_Brandenburg	http://sh.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://simple.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://sk.dbpedia.org/resource/Brandenbursko	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://sl.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://sq.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://sr.dbpedia.org/resource/Бранденбург	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://sv.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://sw.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://th.dbpedia.org/resource/รัฐบรันเดนบูร์ก	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://tl.dbpedia.org/resource/Brandeburgo	1
http://als.dbpedia.org/resource/Land_Brandenburg	http://tl.dbpedia.org/resource/Brandenburg	1
http://als.dbpedia.org/resource/Land_Brandenburg	http://tr.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://uk.dbpedia.org/resource/Бранденбург	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://uz.dbpedia.org/resource/Brandenburg	1
http://als.dbpedia.org/resource/Land_Brandenburg	http://vec.dbpedia.org/resource/Brandiburgo	1
http://als.dbpedia.org/resource/Land_Brandenburg	http://vi.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://vo.dbpedia.org/resource/Brandänburgän	0
http://als.dbpedia.org/resource/Land_Brandenburg	http://war.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://www.wikidata.org/entity/Q1208	1
http://als.dbpedia.org/resource/Land_Brandenburg	http://yo.dbpedia.org/resource/Brandenburg	2
http://als.dbpedia.org/resource/Land_Brandenburg	http://zh-min-nan.dbpedia.org/resource/Brandenburg	1
http://als.dbpedia.org/resource/Land_Brandenburg	http://zh.dbpedia.org/resource/勃兰登堡	0
http://an.dbpedia.org/resource/Brandemburgo	http://af.dbpedia.org/resource/Brandenburg	2
http://an.dbpedia.org/resource/Brandemburgo	http://als.dbpedia.org/resource/Land_Brandenburg	2
http://an.dbpedia.org/resource/Brandemburgo	http://ar.dbpedia.org/resource/براندنبورغ	0
http://an.dbpedia.org/resource/Brandemburgo	http://az.dbpedia.org/resource/Brandenburq	2
http://an.dbpedia.org/resource/Brandemburgo	http://ba.dbpedia.org/resource/Бранденбург_(штат)	0
http://an.dbpedia.org/resource/Brandemburgo	http://be-x-old.dbpedia.org/resource/Брандэнбург	0
