Entity	Remark
http://af.dbpedia.org/resource/Madison	Error
http://ar.dbpedia.org/resource/ماديسون،_ويسكنسن	Timeout
http://ast.dbpedia.org/resource/Madison_(Wisconsin)	Error
http://bat-smg.dbpedia.org/resource/Madisons	Error
http://bg.dbpedia.org/resource/Мадисън	RedirectedUntilLanded
http://br.dbpedia.org/resource/Madison_(Wisconsin)	Error
http://bs.dbpedia.org/resource/Madison_(Wisconsin)	Error
http://ca.dbpedia.org/resource/Madison_(Wisconsin)	NotRedirect
http://cs.dbpedia.org/resource/Madison	Error
http://cy.dbpedia.org/resource/Madison,_Wisconsin	Error
http://da.dbpedia.org/resource/Madison_(Wisconsin)	Error
http://dbpedia.org/resource/Madison,_Wisconsin	Timeout
http://de.dbpedia.org/resource/Madison_(Wisconsin)	RedirectedUntilLanded
http://el.dbpedia.org/resource/Μάντισον_(Ουισκόνσιν)	RedirectedUntilTimeout
http://eo.dbpedia.org/resource/Madison_(Viskonsino)	Timeout
http://es.dbpedia.org/resource/Madison_(Wisconsin)	RedirectedUntilLanded
http://et.dbpedia.org/resource/Madison	Error
http://eu.dbpedia.org/resource/Madison	Timeout
http://fa.dbpedia.org/resource/مدیسن،_ویسکانسین	Error
http://fi.dbpedia.org/resource/Madison_(Wisconsin)	Error
http://fr.dbpedia.org/resource/Madison_(Wisconsin)	RedirectedUntilLanded
http://fy.dbpedia.org/resource/Madison_(Wiskonsin)	Error
http://gl.dbpedia.org/resource/Madison,_Wisconsin	RedirectedUntilTimeout
http://he.dbpedia.org/resource/מדיסון	Error
http://hi.dbpedia.org/resource/मैडिसन	Error
http://hr.dbpedia.org/resource/Madison,_Wisconsin	Error
http://ht.dbpedia.org/resource/Madison,_Wisconsin	Error
http://hy.dbpedia.org/resource/Մեդիսոն_(Վիսկոնսին)	Error
http://ia.dbpedia.org/resource/Madison,_Wisconsin	Error
http://id.dbpedia.org/resource/Madison,_Wisconsin	Timeout
http://io.dbpedia.org/resource/Madison,_Wisconsin	Error
http://it.dbpedia.org/resource/Madison_(Wisconsin)	Error
http://ja.dbpedia.org/resource/マディソン_(ウィスコンシン州)	Timeout
http://ka.dbpedia.org/resource/მედისონი_(უისკონსინი)	Error
http://ko.dbpedia.org/resource/매디슨_(위스콘신_주)	Timeout
http://ku.dbpedia.org/resource/Madison_(Wisconsin)	Error
http://la.dbpedia.org/resource/Madisonia	Error
http://lmo.dbpedia.org/resource/Madison	Error
http://lt.dbpedia.org/resource/Madisonas_(Viskonsinas)	Error
http://lv.dbpedia.org/resource/Medisona	NotFound
http://mg.dbpedia.org/resource/Madison,_Wisconsin	Error
http://mk.dbpedia.org/resource/Медисон_(Висконсин)	Error
http://mr.dbpedia.org/resource/मॅडिसन,_विस्कॉन्सिन	Error
http://ms.dbpedia.org/resource/Madison,_Wisconsin	Error
http://nl.dbpedia.org/resource/Madison_(Wisconsin)	NotRedirect
http://nn.dbpedia.org/resource/Madison	Error
http://no.dbpedia.org/resource/Madison_(Wisconsin)	Error
http://oc.dbpedia.org/resource/Madison_(Wisconsin)	Error
http://pl.dbpedia.org/resource/Madison	NotRedirect
http://pms.dbpedia.org/resource/Madison	Error
http://pt.dbpedia.org/resource/Madison_(Wisconsin)	Timeout
http://ro.dbpedia.org/resource/Madison,_Wisconsin	Error
http://ru.dbpedia.org/resource/Мадисон_(Висконсин)	Error
http://scn.dbpedia.org/resource/Madison_(Wisconsin)	Error
http://sh.dbpedia.org/resource/Madison_(Wisconsin)	Error
http://simple.dbpedia.org/resource/Madison,_Wisconsin	Error
http://sk.dbpedia.org/resource/Madison_(Wisconsin)	Error
http://sr.dbpedia.org/resource/Медисон_(Висконсин)	Error
http://sv.dbpedia.org/resource/Madison,_Wisconsin	Timeout
http://sw.dbpedia.org/resource/Madison,_Wisconsin	Error
http://ta.dbpedia.org/resource/மேடிசன்	Error
http://tl.dbpedia.org/resource/Madison,_Wisconsin	Error
http://tr.dbpedia.org/resource/Madison,_Wisconsin	Error
http://uk.dbpedia.org/resource/Медісон_(Вісконсин)	Timeout
http://vec.dbpedia.org/resource/Madison_(Wisconsin)	Error
http://vi.dbpedia.org/resource/Madison,_Wisconsin	Error
http://vo.dbpedia.org/resource/Madison_(Wisconsin)	Error
http://war.dbpedia.org/resource/Madison,_Wisconsin	Error
http://www.wikidata.org/entity/Q43788	Timeout
http://zh-min-nan.dbpedia.org/resource/Madison,_Wisconsin	Error
http://zh.dbpedia.org/resource/麦迪逊	Error
http://af.dbpedia.org/resource/Xi'an	Error
http://ar.dbpedia.org/resource/شيان	Timeout
http://az.dbpedia.org/resource/Sian	Error
http://be.dbpedia.org/resource/Горад_Сіянь	NotFound
http://bg.dbpedia.org/resource/Сиан	RedirectedUntilLanded
http://br.dbpedia.org/resource/Xi'an	Error
http://ca.dbpedia.org/resource/Xi'an	NotRedirect
http://cs.dbpedia.org/resource/Si-an	Error
http://cy.dbpedia.org/resource/Xi'an	Error
http://da.dbpedia.org/resource/Xi'an	Error
http://dbpedia.org/resource/Xi'an	Timeout
http://de.dbpedia.org/resource/Xi’an	RedirectedUntilLanded
http://eo.dbpedia.org/resource/Ŝiano	Timeout
http://es.dbpedia.org/resource/Xi'an	RedirectedUntilLanded
http://et.dbpedia.org/resource/Xi'an_Shi	Error
http://eu.dbpedia.org/resource/Xi'an	Timeout
http://fa.dbpedia.org/resource/شی‌آن	Error
http://fi.dbpedia.org/resource/Xi'an	Error
http://fi.dbpedia.org/resource/Xi’an	Error
http://fr.dbpedia.org/resource/Xi'an	RedirectedUntilLanded
http://gl.dbpedia.org/resource/Xi'an_-_西安	NotFound
http://he.dbpedia.org/resource/שיאן	Error
http://hi.dbpedia.org/resource/शिआन	Error
http://hr.dbpedia.org/resource/Xi'an	Error
http://hu.dbpedia.org/resource/Hszian	RedirectedUntilTimeout
http://hy.dbpedia.org/resource/Սիան	Error
http://id.dbpedia.org/resource/Xi'an	Timeout
http://it.dbpedia.org/resource/Xi'an	Error
http://ja.dbpedia.org/resource/西安市	Timeout
http://ko.dbpedia.org/resource/시안_시	Timeout
http://la.dbpedia.org/resource/Siganum	Error
http://lb.dbpedia.org/resource/Xian	Error
http://lt.dbpedia.org/resource/Sianas	Error
http://lv.dbpedia.org/resource/Siaņa	NotFound
http://mg.dbpedia.org/resource/Xi'an	Error
http://mr.dbpedia.org/resource/शीआन	Error
http://ms.dbpedia.org/resource/Xi'an	Error
http://my.dbpedia.org/resource/ရှီးအန်းမြို့	Error
