SUBJECT	OBJECT	WEIGHT
http://af.dbpedia.org/resource/Agra	http://ar.dbpedia.org/resource/أكرة	0
http://af.dbpedia.org/resource/Agra	http://az.dbpedia.org/resource/Aqra	2
http://af.dbpedia.org/resource/Agra	http://be-x-old.dbpedia.org/resource/Агра	0
http://af.dbpedia.org/resource/Agra	http://be.dbpedia.org/resource/Горад_Агра	0
http://af.dbpedia.org/resource/Agra	http://bg.dbpedia.org/resource/Агра	0
http://af.dbpedia.org/resource/Agra	http://bn.dbpedia.org/resource/আগ্রা	0
http://af.dbpedia.org/resource/Agra	http://bpy.dbpedia.org/resource/আগ্রা	0
http://af.dbpedia.org/resource/Agra	http://ca.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://cs.dbpedia.org/resource/Ágra	0
http://af.dbpedia.org/resource/Agra	http://cy.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://da.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://de.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://el.dbpedia.org/resource/Άγκρα	0
http://af.dbpedia.org/resource/Agra	http://eo.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://es.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://et.dbpedia.org/resource/Āgra	0
http://af.dbpedia.org/resource/Agra	http://eu.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://fa.dbpedia.org/resource/آگره	0
http://af.dbpedia.org/resource/Agra	http://fi.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://fr.dbpedia.org/resource/Agra	1
http://af.dbpedia.org/resource/Agra	http://fr.dbpedia.org/resource/Āgrā	0
http://af.dbpedia.org/resource/Agra	http://gl.dbpedia.org/resource/Agra_-_आगरा	0
http://af.dbpedia.org/resource/Agra	http://gu.dbpedia.org/resource/આગ્રા	0
http://af.dbpedia.org/resource/Agra	http://he.dbpedia.org/resource/אגרה_(הודו)	0
http://af.dbpedia.org/resource/Agra	http://hi.dbpedia.org/resource/आगरा	0
http://af.dbpedia.org/resource/Agra	http://hr.dbpedia.org/resource/Agra_(Uttar_Pradesh,_Indija)	2
http://af.dbpedia.org/resource/Agra	http://hu.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://hy.dbpedia.org/resource/Ագրե	0
http://af.dbpedia.org/resource/Agra	http://id.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://it.dbpedia.org/resource/Agra	1
http://af.dbpedia.org/resource/Agra	http://it.dbpedia.org/resource/Agra_(India)	1
http://af.dbpedia.org/resource/Agra	http://ja.dbpedia.org/resource/アーグラ	0
http://af.dbpedia.org/resource/Agra	http://ka.dbpedia.org/resource/აგრა	0
http://af.dbpedia.org/resource/Agra	http://kn.dbpedia.org/resource/ಆಗ್ರಾ	0
http://af.dbpedia.org/resource/Agra	http://ko.dbpedia.org/resource/아그라	0
http://af.dbpedia.org/resource/Agra	http://la.dbpedia.org/resource/Agra_(India)	2
http://af.dbpedia.org/resource/Agra	http://lmo.dbpedia.org/resource/Agra_(India)	2
http://af.dbpedia.org/resource/Agra	http://lt.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://lv.dbpedia.org/resource/Āgra	0
http://af.dbpedia.org/resource/Agra	http://ml.dbpedia.org/resource/ആഗ്ര	0
http://af.dbpedia.org/resource/Agra	http://mr.dbpedia.org/resource/आग्रा	0
http://af.dbpedia.org/resource/Agra	http://ms.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://mzn.dbpedia.org/resource/آگرا	0
http://af.dbpedia.org/resource/Agra	http://ne.dbpedia.org/resource/आगरा	0
http://af.dbpedia.org/resource/Agra	http://new.dbpedia.org/resource/आगरा	0
http://af.dbpedia.org/resource/Agra	http://new.dbpedia.org/resource/आग्रा	0
http://af.dbpedia.org/resource/Agra	http://nl.dbpedia.org/resource/Agra_(India)	2
http://af.dbpedia.org/resource/Agra	http://no.dbpedia.org/resource/Agra_(by_i_India)	2
http://af.dbpedia.org/resource/Agra	http://pl.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://pms.dbpedia.org/resource/Agra_(India)	2
http://af.dbpedia.org/resource/Agra	http://pnb.dbpedia.org/resource/آگرہ	0
http://af.dbpedia.org/resource/Agra	http://pt.dbpedia.org/resource/Agra_(Índia)	0
http://af.dbpedia.org/resource/Agra	http://ro.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://ru.dbpedia.org/resource/Агра	0
http://af.dbpedia.org/resource/Agra	http://sh.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://simple.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://sk.dbpedia.org/resource/Ágra	0
http://af.dbpedia.org/resource/Agra	http://sr.dbpedia.org/resource/Агра	0
http://af.dbpedia.org/resource/Agra	http://sv.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://ta.dbpedia.org/resource/ஆக்ரா	0
http://af.dbpedia.org/resource/Agra	http://te.dbpedia.org/resource/ఆగ్రా	0
http://af.dbpedia.org/resource/Agra	http://th.dbpedia.org/resource/อัคระ	0
http://af.dbpedia.org/resource/Agra	http://tl.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://tr.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://uk.dbpedia.org/resource/Аґра	0
http://af.dbpedia.org/resource/Agra	http://ur.dbpedia.org/resource/آگرہ	0
http://af.dbpedia.org/resource/Agra	http://uz.dbpedia.org/resource/Agra	1
http://af.dbpedia.org/resource/Agra	http://vi.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://war.dbpedia.org/resource/Agra	2
http://af.dbpedia.org/resource/Agra	http://www.wikidata.org/entity/Q42941	1
http://af.dbpedia.org/resource/Agra	http://zh.dbpedia.org/resource/阿格拉	0
http://ar.dbpedia.org/resource/أكرة	http://af.dbpedia.org/resource/Agra	0
http://ar.dbpedia.org/resource/أكرة	http://az.dbpedia.org/resource/Aqra	0
http://ar.dbpedia.org/resource/أكرة	http://be-x-old.dbpedia.org/resource/Агра	0
http://ar.dbpedia.org/resource/أكرة	http://be.dbpedia.org/resource/Горад_Агра	0
http://ar.dbpedia.org/resource/أكرة	http://bg.dbpedia.org/resource/Агра	0
http://ar.dbpedia.org/resource/أكرة	http://bn.dbpedia.org/resource/আগ্রা	0
http://ar.dbpedia.org/resource/أكرة	http://bpy.dbpedia.org/resource/আগ্রা	0
http://ar.dbpedia.org/resource/أكرة	http://ca.dbpedia.org/resource/Agra	0
