Entity	Remark
http://an.dbpedia.org/resource/Categor%C3%ADa:Politica_fiscal	Error
http://an.dbpedia.org/resource/Categoría:Politica_fiscal	Error
http://ar.dbpedia.org/resource/تصنيف:سياسة_مالية	Timeout
http://bg.dbpedia.org/resource/Категория:Фискална_политика	RedirectedUntilLanded
http://dbpedia.org/resource/Category:Fiscal_policy	RedirectedUntilLanded
http://de.dbpedia.org/resource/Kategorie:Fiskalpolitik	RedirectedUntilLanded
http://es.dbpedia.org/resource/Categoría:Política_fiscal	RedirectedUntilLanded
http://eu.dbpedia.org/resource/Kategoria:Politika_fiskala	RedirectedUntilLanded
http://fa.dbpedia.org/resource/رده:سیاست_مالی	Error
http://fi.dbpedia.org/resource/Luokka:Finanssipolitiikka	Error
http://ms.dbpedia.org/resource/Kategori:Dasar_fiskal	Error
http://nl.dbpedia.org/resource/Categorie:Fiscaal_beleid	NotRedirect
http://sl.dbpedia.org/resource/Kategorija:Fiskalna_politika	Error
http://sv.dbpedia.org/resource/Kategori:Finanspolitik	RedirectedUntilLanded
http://th.dbpedia.org/resource/หมวดหมู่:นโยบายการคลัง	Error
http://vi.dbpedia.org/resource/Thể_loại:Chính_sách_tài_chính	Error
http://war.dbpedia.org/resource/Kaarangay:Polisiya_fiscal	Error
http://www.wikidata.org/entity/Q6453410	RedirectedUntilLanded
http://ar.dbpedia.org/resource/%D8%AA%D8%B5%D9%86%D9%8A%D9%81:%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9_%D9%85%D8%A7%D9%84%D9%8A%D8%A9	Timeout
http://eo.dbpedia.org/resource/Kategorio:Fiska_politiko	RedirectedUntilLanded
http://ro.dbpedia.org/resource/Categorie:Politică_fiscală	Error
http://zh.dbpedia.org/resource/Category:財政政策	Error
http://bg.dbpedia.org/resource/%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F:%D0%A4%D0%B8%D1%81%D0%BA%D0%B0%D0%BB%D0%BD%D0%B0_%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0	RedirectedUntilLanded
http://da.dbpedia.org/resource/Kategori:Finanspolitik	Error
http://wikidata.dbpedia.org/resource/Q6453410	NotFound
http://wikidata.org/entity/Q6453410	RedirectedUntilLanded
http://es.dbpedia.org/resource/Categor%C3%ADa:Pol%C3%ADtica_fiscal	RedirectedUntilLanded
http://fa.dbpedia.org/resource/%D8%B1%D8%AF%D9%87:%D8%B3%DB%8C%D8%A7%D8%B3%D8%AA_%D9%85%D8%A7%D9%84%DB%8C	Error
http://th.dbpedia.org/resource/%E0%B8%AB%E0%B8%A1%E0%B8%A7%E0%B8%94%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88:%E0%B8%99%E0%B9%82%E0%B8%A2%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B8%A5%E0%B8%B1%E0%B8%87	Error
http://vi.dbpedia.org/resource/Th%E1%BB%83_lo%E1%BA%A1i:Ch%C3%ADnh_s%C3%A1ch_t%C3%A0i_ch%C3%ADnh	Error
https://www.wikidata.org/entity/Q6453410	RedirectedUntilLanded
https://www.wikidata.org/wiki/Special:EntityData/Q6453410	RedirectedUntilLanded
https://www.wikidata.org/wiki/Special:EntityData/Q6453410.json	NotRedirect
https://dbpedia.org/resource/Category:Fiscal_policy	RedirectedUntilLanded
http://dbpedia.org/page/Category:Fiscal_policy	RedirectedUntilLanded
https://dbpedia.org/page/Category:Fiscal_policy	NotRedirect
https://eo.dbpedia.org/resource/Kategorio:Fiska_politiko	NotRedirect
https://sv.dbpedia.org/resource/Kategori:Finanspolitik	NotRedirect
https://eu.dbpedia.org/resource/Kategoria:Politika_fiskala	RedirectedUntilLanded
http://eu.dbpedia.org/page/Kategoria:Politika_fiskala	RedirectedUntilLanded
https://eu.dbpedia.org/page/Kategoria:Politika_fiskala	NotRedirect
https://es.dbpedia.org/resource/Categor%C3%ADa:Pol%C3%ADtica_fiscal	RedirectedUntilLanded
http://es.dbpedia.org/page/Categor%C3%ADa:Pol%C3%ADtica_fiscal	RedirectedUntilLanded
https://es.dbpedia.org/page/Categor%C3%ADa:Pol%C3%ADtica_fiscal	NotRedirect
https://wikidata.org/entity/Q6453410	RedirectedUntilLanded
http://www3.ontotext.com/50x.html	NotRedirect
http://de.dbpedia.org/page/Kategorie:Fiskalpolitik	NotRedirect
