Entity	Remark
http://af.dbpedia.org/resource/Kategorie:Nasionale_simbole_van_Kanada	Error
http://ar.dbpedia.org/resource/تصنيف:رموز_كندا_الوطنية	Timeout
http://be-x-old.dbpedia.org/resource/Катэгорыя:Дзяржаўныя_сымбалі_Канады	Error
http://be.dbpedia.org/resource/Катэгорыя:Дзяржаўныя_сімвалы_Канады	NotFound
http://bg.dbpedia.org/resource/Категория:Национални_символи_на_Канада	RedirectedUntilLanded
http://cs.dbpedia.org/resource/Kategorie:Státní_symboly_Kanady	Error
http://dbpedia.org/resource/Category:National_symbols_of_Canada	RedirectedUntilLanded
http://de.dbpedia.org/resource/Kategorie:Nationales_Symbol_(Kanada)	RedirectedUntilLanded
http://el.dbpedia.org/resource/Κατηγορία:Εθνικά_σύμβολα_του_Καναδά	RedirectedUntilTimeout
http://eo.dbpedia.org/resource/Kategorio:Naciaj_simboloj_de_Kanado	Timeout
http://es.dbpedia.org/resource/Categoría:Símbolos_de_Canadá	RedirectedUntilLanded
http://fa.dbpedia.org/resource/رده:نمادهای_ملی_کانادا	Error
http://fr.dbpedia.org/resource/Catégorie:Symbole_du_Canada	RedirectedUntilLanded
http://gl.dbpedia.org/resource/Categoría:Símbolos_do_Canadá	RedirectedUntilTimeout
http://he.dbpedia.org/resource/קטגוריה:קנדה:_סמלים_לאומיים	Error
http://hy.dbpedia.org/resource/Կատեգորիա:Կանադայի_պետական_խորհրդանիշեր	Error
http://ko.dbpedia.org/resource/분류:캐나다의_상징	Timeout
http://lt.dbpedia.org/resource/Kategorija:Kanados_atributika	Error
http://mk.dbpedia.org/resource/Категорија:Национални_симболи_на_Канада	Error
http://nl.dbpedia.org/resource/Categorie:Canadees_symbool	NotRedirect
http://pl.dbpedia.org/resource/Kategoria:Symbole_Kanady	NotRedirect
http://pt.dbpedia.org/resource/Categoria:Símbolos_do_Canadá	Timeout
http://ru.dbpedia.org/resource/Категория:Государственные_символы_Канады	Error
http://sco.dbpedia.org/resource/Category:Naitional_seembols_o_Canadae	Error
http://th.dbpedia.org/resource/หมวดหมู่:สัญลักษณ์ของประเทศแคนาดา	Error
http://tr.dbpedia.org/resource/Kategori:Kanada'nın_ulusal_sembolleri	Error
http://www.wikidata.org/entity/Q7022726	Timeout
http://ar.dbpedia.org/resource/%D8%AA%D8%B5%D9%86%D9%8A%D9%81:%D8%B1%D9%85%D9%88%D8%B2_%D9%83%D9%86%D8%AF%D8%A7_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9	Timeout
http://az.dbpedia.org/resource/Kateqoriya:Kanadanın_dövlət_rəmzləri	Error
http://et.dbpedia.org/resource/Kategooria:Kanada_sümboolika	Error
http://ja.dbpedia.org/resource/Category:カナダの国の象徴	Timeout
http://be-x-old.dbpedia.org/resource/%D0%9A%D0%B0%D1%82%D1%8D%D0%B3%D0%BE%D1%80%D1%8B%D1%8F:%D0%94%D0%B7%D1%8F%D1%80%D0%B6%D0%B0%D1%9E%D0%BD%D1%8B%D1%8F_%D1%81%D1%8B%D0%BC%D0%B1%D0%B0%D0%BB%D1%96_%D0%9A%D0%B0%D0%BD%D0%B0%D0%B4%D1%8B	Error
http://be.dbpedia.org/resource/%D0%9A%D0%B0%D1%82%D1%8D%D0%B3%D0%BE%D1%80%D1%8B%D1%8F:%D0%94%D0%B7%D1%8F%D1%80%D0%B6%D0%B0%D1%9E%D0%BD%D1%8B%D1%8F_%D1%81%D1%96%D0%BC%D0%B2%D0%B0%D0%BB%D1%8B_%D0%9A%D0%B0%D0%BD%D0%B0%D0%B4%D1%8B	NotFound
http://bg.dbpedia.org/resource/%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F:%D0%9D%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D0%BD%D0%B8_%D1%81%D0%B8%D0%BC%D0%B2%D0%BE%D0%BB%D0%B8_%D0%BD%D0%B0_%D0%9A%D0%B0%D0%BD%D0%B0%D0%B4%D0%B0	RedirectedUntilLanded
http://cs.dbpedia.org/resource/Kategorie:St%C3%A1tn%C3%AD_symboly_Kanady	Error
http://wikidata.dbpedia.org/resource/Q7022726	NotFound
http://wikidata.org/entity/Q7022726	Timeout
http://es.dbpedia.org/resource/Categor%C3%ADa:S%C3%ADmbolos_de_Canad%C3%A1	RedirectedUntilLanded
http://et.dbpedia.org/resource/Kategooria:Kanada_s%C3%BCmboolika	Error
http://www.wikidata.org/entity/Q9950445	Timeout
http://fr.dbpedia.org/resource/Cat%C3%A9gorie:Symbole_du_Canada	RedirectedUntilLanded
http://gl.dbpedia.org/resource/Categor%C3%ADa:S%C3%ADmbolos_do_Canad%C3%A1	RedirectedUntilTimeout
http://he.dbpedia.org/resource/%D7%A7%D7%98%D7%92%D7%95%D7%A8%D7%99%D7%94:%D7%A7%D7%A0%D7%93%D7%94:_%D7%A1%D7%9E%D7%9C%D7%99%D7%9D_%D7%9C%D7%90%D7%95%D7%9E%D7%99%D7%99%D7%9D	Error
http://hy.dbpedia.org/resource/%D4%BF%D5%A1%D5%BF%D5%A5%D5%A3%D5%B8%D6%80%D5%AB%D5%A1:%D4%BF%D5%A1%D5%B6%D5%A1%D5%A4%D5%A1%D5%B5%D5%AB_%D5%BA%D5%A5%D5%BF%D5%A1%D5%AF%D5%A1%D5%B6_%D5%AD%D5%B8%D6%80%D5%B0%D6%80%D5%A4%D5%A1%D5%B6%D5%AB%D5%B7%D5%A5%D6%80	Error
http://ko.dbpedia.org/resource/%EB%B6%84%EB%A5%98:%EC%BA%90%EB%82%98%EB%8B%A4%EC%9D%98_%EC%83%81%EC%A7%95	Timeout
http://mk.dbpedia.org/resource/%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%98%D0%B0:%D0%9D%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D0%BD%D0%B8_%D1%81%D0%B8%D0%BC%D0%B1%D0%BE%D0%BB%D0%B8_%D0%BD%D0%B0_%D0%9A%D0%B0%D0%BD%D0%B0%D0%B4%D0%B0	Error
http://pt.dbpedia.org/resource/Categoria:S%C3%ADmbolos_do_Canad%C3%A1	Timeout
http://ru.dbpedia.org/resource/%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F:%D0%93%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5_%D1%81%D0%B8%D0%BC%D0%B2%D0%BE%D0%BB%D1%8B_%D0%9A%D0%B0%D0%BD%D0%B0%D0%B4%D1%8B	Error
